ID,index,middle,ring,y
1,1879,1009,947,1
2,1876,1006,949,1
3,1873,1008,947,1
4,1872,1014,947,1
5,1872,1014,947,1
6,1872,1015,946,1
7,1878,1015,944,1
8,1887,1014,942,1
9,1887,1017,944,1
10,1892,1019,944,1
11,1887,1018,946,1
12,1892,1018,948,1
13,1896,1021,946,1
14,1920,1024,947,1
15,1921,1034,949,1
16,1931,1038,953,1
17,1925,1040,952,1
18,1913,1043,953,1
19,1912,1041,949,1
20,1907,1040,947,1
21,1910,1041,947,1
22,1911,1057,953,1
23,1910,1073,960,1
24,1904,1080,964,1
25,1897,1082,968,1
26,1878,1073,962,1
27,1877,1057,954,1
28,1867,1052,950,1
29,1858,1038,949,1
30,1848,1033,946,1
31,1837,1031,948,1
32,1830,1030,945,1
33,1827,1025,943,1
34,1830,1024,943,1
35,1830,1023,943,1
36,1834,1021,943,1
37,1829,1024,945,1
38,1829,1027,945,1
39,1831,1032,945,1
40,1834,1035,945,1
41,1835,1035,943,1
42,1837,1028,946,1
43,1837,1002,943,1
44,1837,965,934,1
45,1836,934,929,1
46,1842,910,918,1
47,1839,898,911,1
48,1836,892,911,1
49,1839,895,909,1
50,1833,897,909,1
51,1832,898,911,1
52,1836,903,907,1
53,1840,902,904,1
54,1846,915,905,1
55,1861,942,904,1
56,1863,982,906,1
57,1862,1007,907,1
58,1861,1010,905,1
59,1868,1004,902,1
60,1868,997,902,1
61,1871,983,905,1
62,1869,964,906,1
63,1861,939,905,1
64,1858,919,905,1
65,1851,907,903,1
66,1855,897,904,1
67,1853,892,910,1
68,1854,893,908,1
69,1849,897,906,1
70,1849,901,908,1
71,1848,903,906,1
72,1847,918,908,1
73,1853,940,912,1
74,1859,951,923,1
75,1854,950,932,1
76,1852,945,928,1
77,1846,932,919,1
78,1844,918,914,1
79,1850,906,912,1
80,1847,898,908,1
81,1852,897,906,1
82,1849,902,906,1
83,1850,954,905,1
84,1856,983,905,1
85,1866,980,904,1
86,1870,989,904,1
87,1887,987,905,1
88,1885,988,906,1
89,1890,1000,910,1
90,1893,1016,908,1
91,1876,1015,908,1
92,1869,1016,908,1
93,1868,1017,907,1
94,1857,1020,910,1
95,1853,1017,912,1
96,1849,1015,910,1
97,1842,1009,909,1
98,1848,1006,909,1
99,1843,1004,908,1
100,1844,999,910,1
101,1850,997,909,1
102,1885,995,910,1
103,1892,998,908,1
104,1907,999,907,1
105,1906,997,905,1
106,1912,997,908,1
107,1925,1001,911,1
108,1946,1006,913,1
109,1960,1028,917,1
110,1975,1041,921,1
111,1982,1055,919,1
112,1957,1057,919,1
113,1949,1047,919,1
114,1935,1024,917,1
115,1930,1007,920,1
116,1929,999,914,1
117,1930,998,915,1
118,1934,999,914,1
119,1953,1004,917,1
120,1961,1016,918,1
121,1974,1030,925,1
122,1994,1041,928,1
123,1994,1073,935,1
124,1999,1084,939,1
125,2003,1084,937,1
126,2010,1072,935,1
127,2011,1051,930,1
128,2014,1040,929,1
129,2011,1039,924,1
130,2008,1040,922,1
131,2016,1044,917,1
132,2025,1048,915,1
133,2022,1065,917,1
134,2024,1075,918,1
135,2027,1102,916,1
136,2021,1121,917,1
137,2025,1129,916,1
138,2019,1126,914,1
139,2005,1115,916,1
140,1988,1100,914,1
141,1969,1068,908,1
142,1940,1045,906,1
143,1936,1014,902,1
144,1919,1002,897,1
145,1918,987,899,1
146,1910,985,900,1
147,1891,980,900,1
148,1867,974,900,1
149,1860,967,897,1
150,1846,965,894,1
151,1843,964,897,1
152,1849,967,897,1
153,1872,972,899,1
154,1886,983,901,1
155,1878,993,899,1
156,1872,990,898,1
157,1872,986,899,1
158,1874,986,899,1
159,1870,987,899,1
160,1872,987,904,1
161,1872,988,902,1
162,1867,986,901,1
163,1872,986,901,1
164,1878,984,899,1
165,1874,984,904,1
166,1873,983,905,1
167,1872,984,902,1
168,1870,982,902,1
169,1286,1818,912,2
170,1284,1814,914,2
171,1282,1815,912,2
172,1276,1812,912,2
173,1273,1809,913,2
174,1271,1809,911,2
175,1270,1806,912,2
176,1266,1799,911,2
177,1268,1798,909,2
178,1266,1798,909,2
179,1267,1796,910,2
180,1267,1798,907,2
181,1265,1799,908,2
182,1264,1801,908,2
183,1269,1808,907,2
184,1272,1818,907,2
185,1277,1812,909,2
186,1278,1805,904,2
187,1293,1802,903,2
188,1297,1830,903,2
189,1293,1826,903,2
190,1293,1825,903,2
191,1294,1828,902,2
192,1289,1829,903,2
193,1282,1846,903,2
194,1281,1841,902,2
195,1282,1825,899,2
196,1279,1812,901,2
197,1274,1809,900,2
198,1267,1767,899,2
199,1262,1748,901,2
200,1260,1719,900,2
201,1259,1713,899,2
202,1258,1721,898,2
203,1260,1738,900,2
204,1259,1748,900,2
205,1261,1751,902,2
206,1261,1756,900,2
207,1261,1771,901,2
208,1261,1767,900,2
209,1260,1757,900,2
210,1264,1768,901,2
211,1259,1766,901,2
212,1259,1752,902,2
213,1261,1739,901,2
214,1262,1736,902,2
215,1264,1729,902,2
216,1265,1728,901,2
217,1264,1722,900,2
218,1263,1718,902,2
219,1264,1720,901,2
220,1262,1719,901,2
221,1264,1714,901,2
222,1265,1714,899,2
223,1271,1741,902,2
224,1274,1785,904,2
225,1279,1785,903,2
226,1278,1768,904,2
227,1283,1756,902,2
228,1284,1755,901,2
229,1284,1763,903,2
230,1287,1763,903,2
231,1286,1796,906,2
232,1285,1802,911,2
233,1290,1789,908,2
234,1296,1763,905,2
235,1302,1749,906,2
236,1302,1747,907,2
237,1298,1746,907,2
238,1300,1746,910,2
239,1299,1748,907,2
240,1301,1744,905,2
241,1303,1740,906,2
242,1309,1735,907,2
243,1310,1737,908,2
244,1313,1733,910,2
245,1316,1733,908,2
246,1313,1733,907,2
247,1319,1729,906,2
248,1321,1725,908,2
249,1323,1726,907,2
250,1323,1716,907,2
251,1325,1714,907,2
252,1333,1712,906,2
253,1336,1711,907,2
254,1334,1710,902,2
255,1338,1706,898,2
256,1339,1710,906,2
257,1336,1708,908,2
258,1333,1705,904,2
259,1335,1697,899,2
260,1334,1691,897,2
261,1332,1689,896,2
262,1333,1696,901,2
263,1330,1691,902,2
264,1335,1691,907,2
265,1336,1699,899,2
266,1338,1710,895,2
267,1342,1716,892,2
268,1338,1689,890,2
269,1334,1643,887,2
270,1332,1588,885,2
271,1335,1554,881,2
272,1333,1544,882,2
273,1335,1527,882,2
274,1334,1509,880,2
275,1332,1532,884,2
276,1332,1565,887,2
277,1335,1574,886,2
278,1338,1570,887,2
279,1343,1557,887,2
280,1345,1547,886,2
281,1344,1516,886,2
282,1345,1499,888,2
283,1341,1496,891,2
284,1340,1487,887,2
285,1338,1497,887,2
286,1343,1491,888,2
287,1348,1495,887,2
288,1348,1501,892,2
289,1351,1522,892,2
290,1356,1559,894,2
291,1353,1556,894,2
292,1357,1553,894,2
293,1357,1545,892,2
294,1355,1540,896,2
295,1355,1545,896,2
296,1357,1540,895,2
297,1361,1538,897,2
298,1372,1534,894,2
299,1382,1526,894,2
300,1381,1524,897,2
301,1385,1526,899,2
302,1384,1528,902,2
303,1381,1526,905,2
304,1380,1522,902,2
305,1385,1522,901,2
306,1389,1521,902,2
307,1392,1521,908,2
308,1395,1528,910,2
309,1401,1554,917,2
310,1399,1570,922,2
311,1396,1563,922,2
312,1399,1560,924,2
313,1392,1567,918,2
314,1390,1576,924,2
315,1385,1578,927,2
316,1383,1584,929,2
317,1378,1590,926,2
318,1380,1587,925,2
319,1386,1588,922,2
320,1383,1590,920,2
321,1386,1593,920,2
322,1387,1594,921,2
323,1394,1593,918,2
324,1397,1590,917,2
325,1404,1598,916,2
326,1415,1611,914,2
327,1418,1642,917,2
328,1423,1641,917,2
329,1418,1635,925,2
330,1408,1629,923,2
331,1402,1612,916,2
332,1401,1577,912,2
333,1412,1592,919,2
334,1414,1691,942,2
335,1408,1796,948,2
336,1398,1834,952,2
337,1388,1835,946,2
338,1385,1840,937,2
339,1383,1818,931,2
340,1381,1803,929,2
341,1379,1792,926,2
342,1385,1791,928,2
343,1384,1809,926,2
344,1383,1832,929,2
345,1388,1850,936,2
346,1388,1870,936,2
347,1381,1871,940,2
348,1376,1873,942,2
349,1372,1867,937,2
350,1367,1857,935,2
351,1364,1842,934,2
352,1360,1835,931,2
353,1351,1817,930,2
354,1356,1779,925,2
355,1350,1779,928,2
356,1348,1776,926,2
357,1352,1773,928,2
358,1351,1766,925,2
359,1350,1761,929,2
360,1353,1763,929,2
361,1349,1756,932,2
362,1346,1692,933,2
363,1345,1638,926,2
364,1352,1632,931,2
365,1354,1699,933,2
366,1356,1725,937,2
367,1351,1729,936,2
368,1350,1740,938,2
369,1350,1730,935,2
370,1347,1714,934,2
371,1351,1704,933,2
372,1315,895,1570,3
373,1312,892,1561,3
374,1310,892,1558,3
375,1313,892,1556,3
376,1315,890,1556,3
377,1316,892,1557,3
378,1315,891,1558,3
379,1312,893,1573,3
380,1311,896,1587,3
381,1306,893,1589,3
382,1308,891,1586,3
383,1307,888,1580,3
384,1301,886,1576,3
385,1294,885,1586,3
386,1291,885,1587,3
387,1285,884,1583,3
388,1285,882,1582,3
389,1282,882,1577,3
390,1278,881,1585,3
391,1273,881,1595,3
392,1271,880,1602,3
393,1266,879,1596,3
394,1269,877,1595,3
395,1273,876,1590,3
396,1275,887,1600,3
397,1280,906,1602,3
398,1279,915,1600,3
399,1278,913,1605,3
400,1282,909,1599,3
401,1283,904,1593,3
402,1285,899,1597,3
403,1288,899,1597,3
404,1285,897,1593,3
405,1285,895,1598,3
406,1282,895,1589,3
407,1285,891,1585,3
408,1289,889,1583,3
409,1292,887,1587,3
410,1292,887,1585,3
411,1291,888,1590,3
412,1293,889,1587,3
